id,question_id,content
101,101,"/**
  * Definition for singly-linked list.
  * struct ListNode {
  * int val;
  * ListNode *next;
  * ListNode(int x) : val(x), next(NULL) {}
  * };
  */
 class Solution {
 public:
  //becasue the deleted is not the tail.
  //So, we can move the content of next node to this one, and delete the next one 
  void deleteNode(ListNode* node) {
  node->val = node->next->val;
  node->next = node->next->next;
  }
 };"
102,102,"class AuthenticationManager {
 private: 
  int ttl;
  set<pair<int, string>> time_set;
  unordered_map<string, int> token_map;
 public:
  AuthenticationManager(int timeToLive):ttl(timeToLive) { }
  void generate(string tokenId, int currentTime) {
  token_map[tokenId] = currentTime;
  time_set.insert({currentTime, tokenId});
  }
  void renew(string tokenId, int currentTime) {
  //if the token is not found, or the token is expired
  if (token_map.find(tokenId) == token_map.end() ||
  token_map[tokenId] + ttl <= currentTime ) {
  return;
  }
  time_set.erase({token_map[tokenId], tokenId});
  time_set.insert({currentTime, tokenId});
  token_map[tokenId] = currentTime;
  }
  int countUnexpiredTokens(int currentTime) {
  return clean(currentTime - ttl);
  }
  int clean(int expired) {
  auto it = time_set.begin();
  while(!time_set.empty() && it->first <= expired) {
  token_map.erase(it->second);
  time_set.erase(it);
  it = time_set.begin();
  }
  return time_set.size();
  }
 };
 /**
  * Your AuthenticationManager object will be instantiated and called as such:
  * AuthenticationManager* obj = new AuthenticationManager(timeToLive);
  * obj->generate(tokenId,currentTime);
  * obj->renew(tokenId,currentTime);
  * int param_3 = obj->countUnexpiredTokens(currentTime);
  */"
103,103,"class Solution {
  bool is_lower(char ch) {
  return ch >='a' && ch <='z';
  }
  bool is_upper(char ch) {
  return ch >='A' && ch <='Z';
  }
  bool is_alpha(char ch) {
  return is_lower(ch) || is_upper(ch);
  }
 public:
  bool detectCapitalUse(string word) {
  bool all_upper = true, all_lower = true, first = is_upper(word[0]);
  for(int i=1; i<word.size(); i++) {
  if (is_lower(word[i])) all_upper = false;
  if (is_upper(word[i])) all_lower = false;
  }
  return all_lower || first && all_upper; 
  }
 };"
104,104,"class Solution {
 public:
  bool squareIsWhite(string coordinates) {
  return (coordinates[0] - 'a'+1) % 2 != (coordinates[1] - '0') % 2;
  }
 };"
105,105,"class Solution {
 private:
  int diameter;
  int maxDepth(TreeNode* root) {
  if(root==NULL) return 0;
  int left = maxDepth(root->left);
  int right = maxDepth(root->right);
  diameter = max(diameter, left + right);
  return 1 + max(left, right);
  }
 public:
  int diameterOfBinaryTree(TreeNode* root) {
  diameter = 0;
  maxDepth(root);
  return diameter;
  }
 };"
106,106,"#include <stdlib.h>
 #include <ctype.h>
 #include <iostream>
 #include <vector>
 #include <string>
 #include <map>
 using namespace std;
 bool isOperator(char ch){
  return (ch=='+' || ch=='-' || ch=='*');
 }
 //Divide & Conque - recursive way
 vector<int> diffWaysToCompute(string input) {
  //if the result has been cacluated, then just get it from the cache and return 
  static map< string, vector<int> > cache;
  if ( cache.find(input) != cache.end() ){
  return cache[input];
  }
  vector<int> result; 
  for (int i=0; i<input.size(); i++){
  char ch = input[i];
  if (isOperator(ch)){
  //split the input to two parts, left part and right part 
  //And recursively invoke this function.
  string left = input.substr(0, i);
  string right = input.substr(i+1);
  vector<int> lv = diffWaysToCompute(left);
  vector<int> rv = diffWaysToCompute(right);
  //merge two result to one
  for(int li=0; li<lv.size(); li++) {
  for(int ri=0; ri<rv.size(); ri++) {
  switch(ch){
  case '+' : result.push_back(lv[li] + rv[ri]); break;
  case '-' : result.push_back(lv[li] - rv[ri]); break;
  case '*' : result.push_back(lv[li] * rv[ri]); break;
  }
  }
  }
  }
  }
  //if we cannot find the ""operator"" in input, 
  //which means, it is a number, just put the number into the result. 
  if (result.size()==0) {
  result.push_back(atoi(input.c_str()));
  }
  //cache the result, key = input, value = result;
  cache[input] = result;
  return result;
 }
 void printVector(vector<int>& v) {
  cout << ""["";
  for(int i=0; i<v.size(); i++) {
  cout << v[i] << (i==v.size()-1 ? ""]"":"", "");
  }
  cout << endl;
 }
 int main(int argc, char**argv) 
 {
  string exp = ""2*3-4*5"";
  if ( argc > 1 ){
  exp = argv[1];
  }
  vector<int> v = diffWaysToCompute(exp);
  cout << exp << endl;
  printVector(v);
  return 0;
 }"
107,107,"#include <stdlib.h>
 #include <time.h>
 #include <string.h>
 #include <iostream>
 #include <string>
 #include <map>
 #include <vector>
 using namespace std;
 //=====================
 // Dynamic Programming
 //=====================
 //
 // The idea as below:
 //
 // Considering m[i][j] means the distance from T[i] to S[j], and add the empty """" case, then,
 //
 // A) Initialization for empty case: m[0][j] = 1;
 //
 // B) Calculation 
 //
 // a) Target-len > Source-len cannot found any substring
 // i > j : m[i][j] = 0; 
 //
 // b) if not equal, take the value of T[i] => S[j-1] (e.g. [""ra"" => ""rabb""] =[""ra"" => ""rab""] )
 // S[j] != T[i] : m[i][j] = m[i][j-1]
 //
 // c) if equal. (e.g. [""rab"" => ""rabb""] = [""rab"" =>""rab""] + [""ra"" => ""rab""] ) 
 // S[j] == T[i] : m[i][j] = m[i][j-1] + m[i-1][j-1]
 //
 // 1) Initialize a table as below 
 // """" r a b b b i t
 // """" 1 1 1 1 1 1 1 1
 // r 
 // b 
 // t 
 //
 // 2) Calculation
 // """" r a b b b i t
 // """" 1 1 1 1 1 1 1 1
 // r 0 1 1 1 1 1 1 1 
 // b 0 0 0 1 2 3 3 3
 // t 0 0 0 0 0 0 0 3
 //
 int numDistinct1(string S, string T) {
  vector< vector<int> > m(T.size()+1, vector<int>(S.size()+1));
  for (int i=0; i<m.size(); i++){
  for (int j=0; j<m[i].size(); j++){
  if (i==0){
  m[i][j] = 1;
  continue;
  }
  if ( i>j ) {
  m[i][j] = 0;
  continue;
  }
  if (S[j-1] == T[i-1]){
  m[i][j] = m[i][j-1] + m[i-1][j-1];
  } else {
  m[i][j] = m[i][j-1] ;
  }
  }
  }
  return m[T.size()][S.size()];
 }
 //=====================
 // Dynamic Programming
 //=====================
 //
 // The idea here is an optimization of above idea 
 // (It might be difficult to understand if you don't understand the above idea)
 //
 // For example:
 //
 // S = ""abbbc"" T=""abb""
 // posMap = { [a]={0}, [b]={2,1} } <- the map of T's every char.
 // numOfSubSeq = {1, 0, 0, 0 }
 //
 // S[0] is 'a', pos is 0, numOfSubSeq = {1, 0+1, 0, 0};
 //
 // S[1] is 'b', pos is 2, numOfSubSeq = {1, 1, 0, 0+0};
 // pos is 1, numOfSubSeq = {1, 1, 0+1, 0};
 //
 // S[2] is 'b', pos is 2, numOfSubSeq = {1, 1, 1, 0+1};
 // pos is 1, numOfSubSeq = {1, 1, 1+1, 1};
 //
 // S[3] is 'b', pos is 2, numOfSubSeq = {1, 1, 2, 2+1};
 // pos is 1, numOfSubSeq = {1, 1, 1+2, 3};
 //
 // S[4] is 'c', not found, numOfSubSeq = {1, 1, 3, 3};
 // 
 //
 int numDistinct2(string S, string T) {
  map< char, vector<int> > pos_map;
  int len = T.size();
  vector<int> numOfSubSeq(len+1);
  numOfSubSeq[0] = 1;
  for (int i=len-1; i>=0; i--){
  pos_map[T[i]].push_back(i);
  }
  for (int i=0; i<S.size(); i++){
  char ch = S[i];
  if ( pos_map.find(ch) != pos_map.end() ) {
  for (int j=0; j<pos_map[ch].size(); j++) {
  int pos = pos_map[ch][j];
  numOfSubSeq[pos+1] += numOfSubSeq[pos];
  } 
  }
  }
  return numOfSubSeq[len];
 }
 //random invoker
 int numDistinct(string S, string T) {
  srand(time(0));
  if (rand()%2){
  cout << ""-----Dynamic Programming Method One-----"" << endl;
  return numDistinct1(S,T);
  }
  cout << ""-----Dynamic Programming Method Two-----"" << endl;
  return numDistinct2(S,T);
 }
 int main(int argc, char** argv)
 {
  string s = ""rabbbit"";
  string t = ""rabbit"";
  if (argc>2){
  s = argv[1];
  t = argv[2];
  }
  cout << ""S=\"""" << s << ""\"" T=\"""" << t << ""\"""" << endl;
  cout << ""numDistinct = "" << numDistinct(s, t) << endl;
  return 0;
 }"
108,108,"/**
  * Definition for a binary tree node.
  * struct TreeNode {
  * int val;
  * TreeNode *left;
  * TreeNode *right;
  * TreeNode(int x) : val(x), left(NULL), right(NULL) {}
  * };
  */
 class Solution {
 public:
  int distributeCoins(TreeNode* root) {
  int result = 0;
  dfs(root, result);
  return result;
  }
  //
  // if a node has 0 coin, which means one move from its parent.
  // 1 coin, which means zero move from its parent.
  // N coins, which means N-1 moves to its parent.
  //
  // So, we can simply know, the movement = coins -1.
  // - negative number means the the coins needs be moved in.
  // - positive number means the the coins nees be moved out.
  //
  // A node needs to consider the movement requests from both its left side and right side.
  // and need to calculate the coins after left and right movement.
  //
  // So, the node coins = my conins - the coins move out + the coins move in.
  //
  // Then we can have to code as below.
  //
  int dfs(TreeNode* root, int& result) {
  if (root == NULL) return 0;
  int left_move = dfs(root->left, result);
  int right_move = dfs(root->right, result);
  result += (abs(left_move) + abs(right_move));
  // the coin after movement: coins = root->val +left_move + right_move
  // the movement needs: movement = coins - 1
  return root->val + left_move + right_move - 1;
  }
 };"
109,109,"#include <stdio.h>
 #include <string.h>
 #include <iostream>
 using namespace std;
 #define INT_MAX 2147483647
 #define INT_MIN (-INT_MAX - 1)
 int divide(int dividend, int divisor) {
  int sign = (float)dividend / divisor > 0 ? 1 : -1;
  unsigned int dvd = dividend > 0 ? dividend : -dividend;
  unsigned int dvs = divisor > 0 ? divisor : -divisor;
  unsigned int bit_num[33];
  unsigned int i=0;
  long long d = dvs;
  bit_num[i] = d;
  while( d <= dvd ){
  bit_num[++i] = d = d << 1;
  }
  i--;
  unsigned int result = 0;
  while(dvd >= dvs){
  if (dvd >= bit_num[i]){
  dvd -= bit_num[i];
  result += (1<<i);
  }else{
  i--;
  }
  }
  //becasue need to return `int`, so we need to check it is overflowed or not.
  if ( result > INT_MAX && sign > 0 ) {
  return INT_MAX;
  }
  return (int)result * sign;
 }
 int main()
 {
  cout << ""0/2="" << divide(0, 2) << endl;
  cout << ""10/2="" << divide(10, 2) << endl;
  cout << ""10/3="" << divide(10, 3) << endl;
  cout << ""10/5="" << divide(10, 5) << endl;
  cout << ""10/7="" << divide(10, 7) << endl;
  cout << ""10/10="" << divide(10, 10) << endl;
  cout << ""10/11="" << divide(10, 11) << endl;
  cout << ""-1/1="" << divide(1, -1) << endl;
  cout << ""1/-1="" << divide(1, -1) << endl;
  cout << ""-1/-1="" << divide(-1, -1) << endl;
  cout << ""2147483647/1="" << divide(2147483647, 1) << endl;
  cout << ""-2147483647/1="" << divide(-2147483647, 1) << endl;
  cout << ""2147483647/-1="" << divide(2147483647, -1) << endl;
  cout << ""-2147483647/-1="" << divide(-2147483647, -1) << endl;
  cout << ""2147483647/2="" << divide(2147483647, 2) << endl;
  cout << ""2147483647/10="" << divide(2147483647, 10) << endl;
  cout << ""-2147483648/1="" << divide(-2147483648, 1) << endl;
  cout << ""-2147483648/-1="" << divide(-2147483648, -1) << endl;
 }"
110,110,"class Solution {
  public:
  int calculateMinimumHP(vector<vector<int> > &dungeon) {
  int row = dungeon.size();
  int col = row>0 ? dungeon[0].size() : 0;
  if (row<=0 || col <=0) return 0;
  //dp[r][c] = min( max( dp[r+1][c] - dungeon[r][c], 1), max( dp[r][c+1] - dungeon[r][c], 1) );
  int dp[row][col];
  memset(dp, 0, sizeof(dp));
  for(int r=row-1; r>=0; r--){
  for (int c=col-1; c>=0; c--){
  /*if (r == row - 1 && c == col - 1 ){
  dp[r][c] = max(1 - dungeon[r][c], 1);
  }else if ( r == row - 1 ) {
  dp[r][c] = max(dp[r][c+1] - dungeon[r][c], 1);
  }else if ( c == col - 1 ) {
  dp[r][c] = max(dp[r+1][c] - dungeon[r][c], 1);
  }else{
  dp[r][c] = min( max( dp[r+1][c] - dungeon[r][c], 1), max( dp[r][c+1] - dungeon[r][c], 1) );
  }*/
  if (r == row - 1 && c == col - 1 ){
  dp[r][c] = max(1 - dungeon[r][c], 1);
  }else{ 
  int h1 = ( c == col-1 ) ? INT_MAX : max(dp[r][c+1] - dungeon[r][c], 1);
  int h2 = ( r == row-1 ) ? INT_MAX : max(dp[r+1][c] - dungeon[r][c], 1);
  dp[r][c] = min( h1, h2 );
  }
  }
  }
  return dp[0][0];
  }
 };"
111,111,"#include <iostream>
 #include <string>
 #include <vector>
 #include <algorithm>
 using namespace std;
 /*
  * Dynamic Programming
  *
  * Definitaion
  *
  * m[i][j] is minimal distance from word1[0..i] to word2[0..j]
  *
  * So, 
  *
  * 1) if word1[i] == word2[j], then m[i][j] == m[i-1][j-1].
  *
  * 2) if word1[i] != word2[j], then we need to find which one below is minimal:
  *
  * min( m[i-1][j-1], m[i-1][j], m[i][j-1] )
  * 
  * and +1 - current char need be changed.
  *
  * Let's take a look m[1][2] : ""a"" => ""ab"" 
  *
  * +---+ +---+ 
  * ''=> a | 1 | | 2 | '' => ab 
  * +---+ +---+ 
  * 
  * +---+ +---+ 
  * a => a | 0 | | 1 | a => ab 
  * +---+ +---+ 
  * 
  * To know the minimal distance `a => ab`, we can get it from one of the following cases:
  *
  * 1) delete the last char in word1, minDistance( '' => ab ) + 1 
  * 2) delete the last char in word2, minDistance( a => a ) + 1 
  * 3) change the last char, minDistance( '' => a ) + 1 
  * 
  * 
  * For Example:
  *
  * word1=""abb"", word2=""abccb""
  *
  * 1) Initialize the DP matrix as below:
  *
  * """" a b c c b
  * """" 0 1 2 3 4 5
  * a 1
  * b 2
  * b 3
  *
  * 2) Dynamic Programming
  *
  * """" a b c c b
  * """" 0 1 2 3 4 5
  * a 1 0 1 2 3 4 
  * b 2 1 0 1 2 3
  * b 3 2 1 1 2 2
  *
  */
 int min(int x, int y, int z) {
  return std::min(x, std::min(y,z));
 }
 int minDistance(string word1, string word2) {
  int n1 = word1.size(); 
  int n2 = word2.size(); 
  if (n1==0) return n2;
  if (n2==0) return n1;
  vector< vector<int> > m(n1+1, vector<int>(n2+1));
  for(int i=0; i<m.size(); i++){
  m[i][0] = i;
  }
  for (int i=0; i<m[0].size(); i++) {
  m[0][i]=i;
  }
  //Dynamic Programming
  int row, col;
  for (row=1; row<m.size(); row++) {
  for(col=1; col<m[row].size(); col++){
  if (word1[row-1] == word2[col-1] ){
  m[row][col] = m[row-1][col-1];
  }else{
  int minValue = min(m[row-1][col-1], m[row-1][col], m[row][col-1]);
  m[row][col] = minValue + 1;
  }
  }
  }
  return m[row-1][col-1];
 }
 int main(int argc, char**argv)
 {
  string word1=""abb"", word2=""abccb"";
  if (argc>2){
  word1 = argv[1];
  word2 = argv[2];
  }
  int steps = minDistance(word1, word2);
  cout << word1 << "", "" << word2 << "" : "" << steps << endl;
  return 0;
 }"
112,112,"class Solution {
 public:
  int lastRemaining(int n) {
  int start = 1, step = 1;
  while (n > 1) {
  start += step + (n-2)/2 * 2*step;
  n /= 2;
  step *= -2;
  }
  return start;
  }
 };"
113,113,"class Solution { 
 private:
  void print(vector<int>& n) {
  cout <<""["";
  for(int i=0; i< n.size() - 1; i++) {
  cout << n[i] << "","";
  }
  cout << n[n.size()-1] << ""]"" <<endl;
  }
 private:
  int minOpsBySort(int gaps, vector<int>& small, vector<int>& big) {
  sort(small.begin(), small.end());
  sort(big.begin(), big.end());
  int op = 0;
  int left = 0, right = big.size() -1;
  while (gaps >0) {
  int small_gaps = left < small.size() ? 6 - small[left] : 0;
  int big_gaps = right >= 0 ? big[right] - 1 : 0;
  if (small_gaps > big_gaps) {
  gaps -= small_gaps;
  left++;
  }else{
  gaps -= big_gaps;
  right--;
  }
  op++;
  }
  return op;
  }
  int minOpsByCnt1(int gaps, vector<int>& small, vector<int>& big) {
  int small_cnt[6] = {0} , big_cnt[6] = {0};
  for (auto& n : small) small_cnt[n-1]++;
  for (auto& n : big) big_cnt[n-1]++;
  int op = 0;
  int left = 0, right = 5; 
  while( gaps > 0 ) {
  while (left < 6 && small_cnt[left] == 0 ) left++;
  while ( right >=0 && big_cnt[right] == 0 ) right--;
  int small_gaps = left < 6 ? 6 - (left + 1) : 0;
  int big_gaps = right >= 0 ? right : 0;
  if (small_gaps > big_gaps) {
  gaps -= small_gaps;
  small_cnt[left]--;
  }else{
  gaps -= big_gaps;
  big_cnt[right]--;
  }
  op++;
  }
  return op;
  }
  int minOpsByCnt2(int gaps, vector<int>& small, vector<int>& big) {
  int cnt[6] = {0};
  for (auto& n : small) cnt[6-n]++;
  for (auto& n : big) cnt[n-1]++;
  int ops = 0;
  for (int i=5 ; i >= 0 && gaps > 0; i--) {
  if (cnt[i] == 0) continue;
  if (cnt[i] * i > gaps) {
  ops += (gaps / i + (gaps % i ? 1:0) ) ;
  break;
  }
  gaps -= cnt[i] * i;
  ops += cnt[i];
  }
  return ops;
  }
 public:
  int minOperations(vector<int>& nums1, vector<int>& nums2) {
  int len1 = nums1.size(), len2 = nums2.size();
  if ( len1 > 6*len2 || len2 > 6*len1) return -1;
  int sum1 = 0 , sum2 = 0;
  for (auto& n : nums1) sum1 += n;
  for (auto& n : nums2) sum2 += n;
  if (sum1 > sum2) {
  swap(sum1, sum2);
  swap(nums1, nums2);
  }
  int gaps = sum2 - sum1;
  if (gaps == 0) return 0;
  return minOpsByCnt2(gaps, nums1, nums2); //104ms
  return minOpsByCnt1(gaps, nums1, nums2); //108ms
  return minOpsBySort(gaps, nums1, nums2); //140ms
  }
 };"
114,114,"class Solution {
 private:
  bool dfs( unordered_map<string, unordered_map<string, double>>& m, 
  unordered_map<string, bool>& visited, 
  string& start, string& end, double& res ) {
  if ( m.find(start) == m.end() || m.find(end) == m.end() ) return false;
  if ( start == end ) return true;
  for (auto it = m[start].begin(); it != m[start].end(); ++it) {
  auto key = it->first;
  auto value = it->second;
  // already visited, skip it.
  if (visited.find(key) != visited.end() ) {
  continue;
  }
  visited[key] = true;
  double old = res;
  res *= value;
  if (dfs(m, visited, key, end, res)) {
  return true;
  }
  //didn't find the result, reset the current result, and go to next one
  res = old;
  visited.erase(key);
  }
  return false;
  }
 public:
  vector<double> calcEquation(vector<pair<string, string>> equations, 
  vector<double>& values, 
  vector<pair<string, string>> queries) {
  unordered_map<string, unordered_map<string, double>> m;
  for(int i=0; i<equations.size(); i++) {
  auto first = equations[i].first;
  auto second = equations[i].second;
  m[first][second] = values[i];
  m[second][first] = 1.0 / values[i];
  }
  vector<double> result;
  for(auto q : queries) {
  string start = q.first;
  string end = q.second;
  unordered_map<string, bool> visited;
  visited[start] = true;
  double res = 1.0;
  if(dfs(m, visited, start, end, res)) {
  result.push_back(res);
  } else {
  result.push_back(-1.0);
  }
  }
  return result;
  }
 };"
115,115,"#include <stdio.h>
 #include <stdlib.h>
 #include <errno.h>
 #include <string>
 #include <vector>
 #include <iostream>
 using namespace std;
 class Solution {
 public:
  int evalRPN(vector<string> &tokens) {
  int i =0;
  bool err = false;
  vector<int> exp;
  for (int i=0; i<tokens.size() && !err; i++ ){
  if (isNum(tokens[i])) {
  exp.push_back(value);
  } else if( isOp(tokens[i])==true ) {
  if (exp.size() < 2) {
  return 0; //ERROR
  }
  int lhs, rhs;
  rhs = exp.back();
  exp.pop_back();
  lhs = exp.back();
  exp.pop_back();
  int evlValue;
  if (tokens[i]==""+""){
  evlValue = lhs + rhs; 
  }else if (tokens[i]==""-""){
  evlValue = lhs - rhs;
  }else if (tokens[i]==""*""){
  evlValue = lhs * rhs;
  }else if (tokens[i]==""/""){
  evlValue = lhs / rhs;
  }
  exp.push_back(evlValue);
  }else {
  return 0; //ERROR 
  }
  }
  if (exp.size()==1){
  return exp.back();
  }
  return 0; 
  }
 private:
  long value;
  bool isOp(string &op) {
  return (op==""+"" || op==""-"" || op==""*"" || op==""/"");
  }
  bool isNum(string &num) {
  char *end;
  value = strtol(num.c_str(), &end, 10); 
  if (end == num.c_str() || *end != '\0' || errno == ERANGE){
  return false;
  }
  return true;
  }
 };
 int main()
 {
  Solution s;
  char exps[5][3] = {""42"", ""9"", ""6"", ""-"", ""+""};
  vector<string> expression;
  cout << ""Expression: \n "";
  for (int i=0; i<5; i++){
  expression.push_back(exps[i]);
  cout << exps[i] << "" "";
  }
  cout << endl;
  cout << s.evalRPN(expression)<<endl;;
  char exps2[5][3] = {""2"", ""1"", ""+"", ""3"", ""*""};
  expression.clear();
  cout << ""Expression: \n "";
  for (int i=0; i<5; i++){
  expression.push_back(exps2[i]);
  cout << exps2[i] << "" "";
  }
  cout << endl;
  cout << s.evalRPN(expression)<<endl;
  return 0;
 }"
116,116,"class Solution {
 private:
  bool isBracket(char c) {
  return c=='(' || c == ')';
  }
 public:
  string evaluate(string s, vector<vector<string>>& knowledge) {
  unordered_map<string, string> dict;
  for(auto& k : knowledge) {
  dict[k[0]] = k[1];
  }
  string result;
  string key;
  bool meetLeftBracket = false;
  for(auto& c : s) {
  if (c == '(') {
  meetLeftBracket = true;
  } else if (c == ')') {
  meetLeftBracket = false;
  //cout << key << endl;
  if (dict.find(key) != dict.end()) {
  result += dict[key];
  }else {
  result += '?';
  }
  key = """";
  } else {
  if (meetLeftBracket) {
  key += c;
  }else{
  result +=c;
  }
  }
  }
  return result;
  }
 };"
117,117,"#include <stdio.h>
 #include <stdlib.h>
 #include <iostream>
 #include <string>
 using namespace std;
 string base26_int2str(long long n) {
  string ret;
  while(n>0){
  char ch = 'A' + (n-1)%26;
  ret.insert(ret.begin(), ch );
  n -= (n-1)%26;
  n /= 26;
  }
  return ret;
 }
 long long base26_str2int(string& s){
  long long ret=0;
  for (int i=0; i<s.size(); i++){
  int n = s[i] - 'A' + 1;
  ret = ret*26 + n;
  }
  return ret;
 }
 string titleToNumber(int n) {
  return base26_str2int(n);
 }
 int main(int argc, char**argv)
 {
  long long n = 27; 
  if (argc>1){
  n = atoll(argv[1]);
  }
  string ns = base26_int2str(n);
  n = base26_str2int(ns);
  cout << n << "" = "" << ns << endl;
  ns = ""ABCDEFG"";
  if (argc>2){
  ns = argv[2];
  }
  cout << ns << "" = "" << base26_str2int(ns) << endl;
 }"
118,118,"#include <stdio.h>
 #include <stdlib.h>
 #include <iostream>
 #include <string>
 using namespace std;
 string base26_int2str(long long n) {
  string ret;
  while(n>0){
  char ch = 'A' + (n-1)%26;
  ret.insert(ret.begin(), ch );
  n -= (n-1)%26;
  n /= 26;
  }
  return ret;
 }
 long long base26_str2int(string& s){
  long long ret=0;
  for (int i=0; i<s.size(); i++){
  int n = s[i] - 'A' + 1;
  ret = ret*26 + n;
  }
  return ret;
 }
 string convertToTitle(int n) {
  return base26_int2str(n);
 }
 int main(int argc, char**argv)
 {
  long long n = 27; 
  if (argc>1){
  n = atoll(argv[1]);
  }
  string ns = base26_int2str(n);
  n = base26_str2int(ns);
  cout << n << "" = "" << ns << endl;
  ns = ""ABCDEFG"";
  if (argc>2){
  ns = argv[2];
  }
  cout << ns << "" = "" << base26_str2int(ns) << endl;
 }"
119,119,"class Solution {
 public:
  vector<string> addOperators(string num, int target) {
  vector<string> result;
  if (num.size() == 0) return result;
  helper(num, target, result, """", 0, 0, 0, ' ');
  return result; 
  }
  //DFS algorithm
  void helper(const string &num, const int target, //`num` and `target` never change
  vector<string>& result, // the array store all of the answers
  string solution, //the current potential answer.
  int idx, // the current index of `num` array
  long long val, // the current value we calculated so far
  long long prev, // the lastest value we used for calculation, which used for operation prioirty adjustment
  char preop ) // the latest ""+"" or ""-"" operation, which used for operation prioirty adjustment 
  {
  if (target == val && idx == num.size()){
  result.push_back(solution);
  return;
  }
  if (idx == num.size()) return;
  string n;
  long long v=0;
  for(int i=idx; i<num.size(); i++) {
  //get rid of the number which start by ""0""
  //e.g. ""05"" is not the case.
  if (n==""0"") return;
  n = n + num[i];
  v = v*10 + num[i]-'0';
  if (solution.size()==0){ 
  // the first time for initialization
  helper(num, target, result, n, i+1, v, 0, ' ');
  }else{
  // '+' or '-' needn't to adjust the priority
  helper(num, target, result, solution + '+' + n, i+1, val+v, v, '+');
  helper(num, target, result, solution + '-' + n, i+1, val-v, v, '-');
  //if we meet multiply operation, we need adjust the calcualtion priority
  // e.g. if the previous value is calculated by 2+3=5, 
  // then if we need to multipy 4, it is not 5*4, it is 2+3*4=2+12=24
  // we need be careful about multiply again, such as: 2+3*4*5
  if (preop=='+') {
  helper(num, target, result, solution + '*' + n, i+1, (val-prev)+prev*v, prev*v, preop);
  }else if (preop=='-'){
  helper(num, target, result, solution + '*' + n, i+1, (val+prev)-prev*v, prev*v, preop);
  }else {
  helper(num, target, result, solution + '*' + n, i+1, val*v, v, '*');
  }
  }
  }
  }
 };"
120,120,"/*
  * The idea is: 
  * 
  * 1. The ZERO comes from 10. 
  * 2. The 10 comes from 2 x 5 
  * 3. And we need to account for all the products of 5 and 2. likes 4Ã—5 = 20 ...
  * 4. So, if we take all the numbers with 5 as a factor, we'll have way more than enough even numbers 
  * to pair with them to get factors of 10
  * 
  * **Example One**
  * 
  * How many multiples of 5 are between 1 and 23? 
  * There is 5, 10, 15, and 20, for four multiples of 5. Paired with 2's from the even factors, 
  * this makes for four factors of 10, so: **23! has 4 zeros**.
  * 
  * 
  * **Example Two**
  * 
  * How many multiples of 5 are there in the numbers from 1 to 100? 
  * 
  * because 100 Ã· 5 = 20, so, there are twenty multiples of 5 between 1 and 100.
  * 
  * but wait, actually 25 is 5Ã—5, so each multiple of 25 has an extra factor of 5, 
  * ( e.g. 25 Ã— 4 = 100ï¼Œwhich introduces extra of zero )
  * 
  * So, we need know how many multiples of 25 are between 1 and 100? Since 100 Ã· 25 = 4, 
  * (there are four multiples of 25 between 1 and 100)
  * 
  * Finally, we get 20 + 4 = 24 trailing zeroes in 100!
  * 
  * 
  * The above example tell us, we need care about 5, 5Ã—5, 5Ã—5Ã—5, 5Ã—5Ã—5Ã—5 ....
  * 
  * **Example Three**
  * 
  * 
  * 5^1 : 4617 Ã· 5 = 923.4, so we get 923 factors of 5
  * 5^2 : 4617 Ã· 25 = 184.68, so we get 184 additional factors of 5
  * 5^3 : 4617 Ã· 125 = 36.936, so we get 36 additional factors of 5
  * 5^4 : 4617 Ã· 625 = 7.3872, so we get 7 additional factors of 5
  * 5^5 : 4617 Ã· 3125 = 1.47744, so we get 1 more factor of 5
  * 5^6 : 4617 Ã· 15625 = 0.295488, which is less than 1, so stop here.
  * 
  * Then 4617! has 923 + 184 + 36 + 7 + 1 = 1151 trailing zeroes.
  * 
  */
 class Solution {
  public:
  int trailingZeroes(int n) {
  int result = 0;
  //To avoid the integer overflow ( e.g. 'n >=1808548329' )
  for(long long i=5; n/i>0 && i <= INT_MAX; i*=5){
  result += (n/i);
  }
  return result;
  }
  // Alternative implementation which naturally avoid integer overflow issue.
  int trailingZeroes(int n) {
  int sum=0;
  int tmp=0;
  while(n/5>0)
  {
  tmp=n/5;
  sum+=tmp;
  n=tmp;
  }
  return sum;
  }
 };"
121,121,"class Solution {
 public:
  int fib(int N) {
  if (N < 2 ) return N;
  int first = 0, second = 1;
  for ( N-=1; N > 0; N-- ) {
  second += first;
  first = second - first;
  }
  return second;
  }
 };"
122,122,"static bool cmp(const vector<int>& v1, const vector<int>& v2) {
  return v1[1] == v2[1] ? v1[0] > v2[0] : v1[1] > v2[1];
 }
 class Solution {
 public:
  vector<int> filterRestaurants(vector<vector<int>>& restaurants, int veganFriendly, int maxPrice, int maxDistance) {
  vector<vector<int>> res;
  for(int i = 0; i < restaurants.size(); i++) {
  if (!restaurants[i][2] && veganFriendly) continue;
  if (restaurants[i][3] > maxPrice) continue;
  if (restaurants[i][4] > maxDistance) continue;
  res.push_back(restaurants[i]);
  }
  sort(res.begin(), res.end(), cmp);
  vector<int> ids;
  for(int i = 0; i < res.size(); i++) ids.push_back(res[i][0]);
  return ids; 
  }
 };"
